,Gray Whales,Fin Whales,Humpback Whales,Blue Whales,Minke Whales,False Killer Whales,Orca Whales,Sei Whales,Temp
Day 410,2,0,0,0,0,0,0,0,4.3
Day 411,2,0,0,0,0,0,0,0,4.3
Day 412,2,0,0,0,0,0,0,0,4.4
Day 413,2,0,0,0,0,0,0,0,4.3
Day 414,2,0,0,0,0,0,0,0,4.2
Day 415,4,0,0,0,0,0,0,0,4.3
Day 416,2,0,0,0,0,0,0,0,4.3
Day 417,2,0,0,0,0,0,0,0,4.3
Day 418,3,0,0,0,0,0,0,0,4
Day 419,2,0,0,0,0,0,0,0,3.5
Day 420,1,0,0,0,0,0,0,0,3.5
Day 421,2,0,0,0,0,0,0,0,3.9
Day 422,0,0,0,0,0,0,0,0,3.6
Day 423,1,0,0,0,0,0,0,0,3.7
Day 424,1,0,0,0,0,0,0,0,3.9
Day 425,1,0,0,0,0,0,0,0,3.6
Day 426,7,0,0,0,0,0,0,0,3.5
Day 427,8,0,0,0,0,0,0,0,3.6
Day 428,8,0,0,0,0,0,0,0,3.6
Day 429,10,0,0,0,0,0,0,0,3.6
Day 430,7,0,0,0,0,0,0,0,3.5
Day 431,0,0,0,0,0,0,0,0,3.5
Day 432,0,0,0,0,0,0,0,0,3.6
Day 433,1,0,0,0,0,0,0,0,3.9
Day 434,4,0,0,0,0,0,0,0,3.9
Day 435,4,0,0,0,0,0,0,0,3.9
Day 436,4,0,0,0,0,0,0,0,3.9
Day 437,4,0,0,0,0,0,0,0,3.9
Day 438,6,0,0,0,0,0,0,0,4
Day 439,2,0,0,0,0,0,0,0,3.9
Day 440,3,0,0,0,0,0,0,0,3.9
Day 441,4,0,0,0,0,0,0,0,4
Day 442,2,0,0,0,0,0,0,0,4
Day 443,0,0,0,0,0,0,0,0,3.9
Day 444,5,0,0,0,0,0,0,0,3.6
Day 445,2,0,0,0,0,0,0,0,3.5
Day 446,3,0,0,0,0,0,0,0,3.6
Day 447,3,0,0,0,0,0,0,0,3.6
Day 448,1,0,0,0,0,0,0,0,3.6
Day 449,1,0,0,0,0,0,0,0,3.9
Day 450,1,0,0,0,0,0,0,0,3.9
Day 451,8,1,0,0,1,0,0,0,3.9
Day 452,2,0,0,0,0,0,0,0,4
Day 453,0,0,1,0,0,0,0,0,4
Day 454,0,0,0,0,0,0,0,0,4.4
Day 455,1,0,0,0,0,0,0,0,4.3
Day 456,1,0,0,0,0,0,0,0,4.3
Day 457,1,0,0,0,0,0,0,0,4.3
Day 458,3,0,0,0,0,0,0,0,3.6
Day 459,1,0,0,0,0,0,0,0,4
Day 460,0,0,0,0,0,0,0,0,4.3
Day 461,0,0,0,0,0,0,0,0,4
Day 462,1,0,0,0,0,0,0,0,4
Day 463,0,0,0,0,0,0,0,0,4.3
Day 464,0,0,0,0,0,0,0,0,4.2
Day 465,2,0,0,0,0,0,0,0,4
Day 466,2,0,0,0,0,0,0,0,4.4
Day 467,2,0,0,0,0,0,0,0,4.4
Day 468,2,0,0,0,0,0,0,0,4.4
Day 469,2,0,0,0,0,0,0,0,4.3
Day 470,2,0,0,0,0,0,0,0,4.3
Day 471,2,0,0,0,0,0,0,0,4
Day 472,2,0,0,0,0,0,0,0,4.3
Day 473,2,0,0,0,0,0,0,0,3.9
Day 474,13,0,0,0,0,0,0,0,3.5
Day 475,2,0,0,0,0,0,0,0,3.2
Day 476,0,0,0,0,0,0,0,0,3.6
Day 477,2,0,0,0,0,0,0,0,3.5
Day 478,4,0,0,0,0,0,0,0,3.6
Day 479,5,0,0,0,0,0,0,0,3.9
Day 480,2,0,0,0,0,0,0,0,4.4
Day 481,2,0,0,0,0,0,0,0,4.7
Day 482,0,0,0,0,0,0,0,0,3.9
Day 483,0,0,0,0,0,0,0,0,4.3
Day 484,0,0,0,0,0,0,0,0,4.4
Day 485,2,0,0,0,0,0,0,0,4.4
Day 486,0,0,0,0,0,0,0,0,4.3
Day 487,0,0,0,0,0,0,0,0,4
Day 488,0,0,0,0,0,0,0,0,4.4
Day 489,0,0,0,0,0,0,0,0,4.8
Day 490,0,0,0,0,0,0,0,0,4.8
Day 491,0,0,0,0,0,0,0,0,4.7
Day 492,0,0,0,0,0,0,0,0,4.4
Day 493,0,0,0,0,0,0,0,0,4.7
Day 494,0,0,0,0,0,0,0,0,4.4
Day 495,0,0,0,0,0,0,0,0,4.4
Day 496,0,0,0,0,0,0,0,0,5.1
Day 497,0,0,0,0,0,0,0,0,4.7
Day 498,0,0,0,0,0,0,0,0,4.8
Day 499,0,0,0,0,0,0,0,0,5.1
Day 500,0,0,0,0,0,0,0,0,5.2
Day 501,0,0,0,0,0,0,0,0,5.1
Day 502,0,0,0,0,0,0,0,0,5.6
Day 503,0,0,0,0,0,0,0,0,5.6
Day 504,0,0,0,0,0,0,0,0,5.8
Day 505,0,0,0,0,0,0,0,0,5.9
Day 506,0,0,0,0,0,0,0,0,5.9
Day 507,0,0,0,0,0,0,0,0,5.6
Day 508,0,0,0,0,0,0,0,0,5.6
Day 509,0,0,0,0,0,0,0,0,5.2
Day 510,0,0,0,0,0,0,0,0,5.8
Day 511,0,0,0,0,0,0,0,0,6.4
Day 512,0,0,0,0,0,0,0,0,7.1
Day 513,0,0,0,0,0,0,0,0,7
Day 514,0,0,0,0,0,0,0,0,7.1
Day 515,0,0,0,0,0,0,0,0,7.8
Day 516,0,0,0,0,0,0,0,0,7.1
Day 517,0,0,0,0,0,0,0,0,7.6
Day 518,1,0,1,0,0,0,0,0,7.4
Day 519,0,0,0,0,0,0,0,0,7.1
Day 520,0,0,0,0,0,0,0,0,6.4
Day 521,0,0,0,0,0,0,0,0,7.8
Day 522,0,0,0,0,0,0,0,0,8.6
Day 523,0,0,0,0,0,0,0,0,8.6
Day 524,0,0,0,0,0,0,0,0,8.7
Day 525,0,0,0,0,0,0,0,0,8.2
Day 526,0,0,0,0,0,0,0,0,7.2
Day 527,0,0,0,0,0,0,0,0,7.4
Day 528,0,0,0,0,0,0,0,0,7.8
Day 529,0,0,0,2,0,0,0,0,7.9
Day 530,0,0,0,2,0,0,0,0,7.9
Day 531,0,0,0,1,0,0,0,0,7.8
Day 532,0,0,0,0,0,0,0,0,7.2
Day 533,0,0,1,0,0,0,0,0,7.8
Day 534,0,0,0,0,0,0,0,0,7.6
Day 535,0,0,0,0,0,0,0,0,7.8
Day 536,0,0,0,0,0,0,0,0,7.5
Day 537,0,0,0,0,0,0,0,0,8.2
Day 538,0,0,0,0,0,0,0,0,8.4
Day 539,0,0,0,0,0,0,0,0,8.3
Day 540,0,0,0,0,0,0,0,0,8.9
Day 541,0,0,0,1,0,0,0,0,9
Day 542,0,0,0,3,0,0,0,0,9.4
Day 543,0,0,0,1,0,0,0,0,9.1
Day 544,0,0,0,0,0,0,0,0,8.9
Day 545,0,0,0,0,0,0,0,0,9.1
Day 546,0,0,0,17,0,0,0,0,9.4
Day 547,0,0,0,14,0,0,0,0,9.7
Day 548,0,0,0,13,0,0,0,0,9.8
Day 549,0,0,0,4,0,0,0,0,10.5
